name,quadrant,ring,isNew,description
FastAPI for REST API,Programmering,VURDER,FALSE,"<p>Dataplattform har veldig god erfaring med å bruke FastAPI for å bygge sine REST API som deployes i Lambda. Det gir et godt lokalt utviklingsmiljø i tillegg til at den passer godt inn i kjøremiljøet.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
React,Programmering,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Veiviser, Barnehagepris, Legevaktsmottak</p>"
Svelte,Programmering,VURDER,FALSE,"<p>Bør kanskje vurdere webcomponents som alternativ? Ikke noe vi har direkte erfaring med, men noe vi ønsker fagarbeid på</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
</p>"
Typescript,Programmering,BRUK,FALSE,"<p>Har tidligere hatt noen utfordring med Vue og templating som har hindret enn i å få full uttelling, men dette utbedres stadig i nyere versjoner av Vue.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Veiviser, Skjema, Dataspeilet, Dataplattform</p>"
Cypress,Programmering,BRUK,FALSE,"<p>Veldig godt egnet for smoketests. Høyt på testpyramiden, så egner seg ikke for omfattende testsuiter. </p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Skjema, Veiviser, Dataspeilet</p>"
Domain Driven Design,Programmering,BRUK,FALSE,"<p>Så fort kodebasen treffer in viss størrelse blir god modellering viktig. Domain driven design er en god teknikk for å skape samhandling med tjenestesiden og samtidig videreutvikle modellen i kode.</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Enkelt å ta i bruk deler av teknikken uten å gå overbord</li>
</ul></p>

<p><b>Brukes av</b><br>
Oslonøkkelen</p>"
Ktor,Programmering,VURDER,FALSE,"<p>Se kommentarer under Kotlin</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Booking</p>"
Kotlin,Programmering,BRUK,FALSE,"<p>Økosystemet av bibliotek rundt Kotlin er fortsatt umodent, og det lønner seg ofte å lene seg på Java-bibliotek heller enn å velge Kotlin ""native"" alternativene.</p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Kan være klønete å steppe gjennom iom at det kompileres til Java</li>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Skjema, Dataplattform, Barnehagepris, Legevaktmottak</p>"
okctl,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Dataspeilet, Veiviser, Barnehagepris, Skjema</p>"
GCP,Plattform,AVSTÅ,FALSE,"<p>Gruppen diskuterte om dette kunne brukes til prototyping men ikke prod.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeilet</p>"
Firebase,Plattform,VURDER,FALSE,"<p>Gruppen diskuterte om dette kunne brukes til prototyping men ikke prod.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeilet</p>"
AWS S3 fillagring,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Skalerbart</li>
<li>+ Billig</li>
<li>- Ikke et ordentlig filsystem (mangler f.eks. move)</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Skjema, Veiviser, Proaktive meldinger</p>"
"AWS SQS kø
AWS SNS topics",Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Har også FIFO</li>
<li>- Kapasitetslimits for FIFO</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Proaktive meldinger</p>"
AWS EKS k8s,Plattform,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Veiviser, skjema, kjøremiljø, Minside, Barnehagepris</p>"
AWS Fargate (ECS) ,Plattform,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Kan fås ut av boksen vha okctl</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Skjema, Dataspeilet</p>"
AWS API Gateway,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Proaktive meldinger</p>"
AWS Lambda,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Skalerbart</li>
<li>+ Billig</li>
<li>- Cold start (delay)</li>
<li>- Timeout</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Dataspeilet, Skjema, Barnehagepris, Proaktive meldinger</p>"
Terraform,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Lett å lære</li>
<li>+ Oversiktlig</li>
<li>- okctl bør være foretrukket som standard for teamene</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, veiviser, Proaktive meldinger, Kjøremiljø, Skjema studio</p>"
CloudFormation,Plattform,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Kjøres med AWS CLI</li>
<li>+ Templates for å gi tilgang mellom kontoer</li>
<li>+ Tjenester som oppretter infrastruktur med e.eks. boto</li>
</ul></p>

<p><b>Brukes av</b><br>
Barnehagepris, Dataplattform, Skjema, Kjøremiljø</p>"
Kinesis eventstrømmer for sanntidsdata,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Koblinger mot andre AWS datakilder + sinks (?) </li>
<li>- Begrenset lagringtid (1/7 dager)</li>
<li>- Kan ikk ereplaye events, slik som Kafka kan.</li>
<li>- Ikke like lav latency som Kafka (10-20 ms)</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
Elasticsearch,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Dataspeilet</p>"
Atlas MongoDB,Plattform,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Skjema</p>"
Postgres,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Veiviser, Booking, Barnehagepris</p>"
DynamoDB,Plattform,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Egner seg ikke/mindre for relasjonelle data</li>
<li>- Trygt hvis du skal aggregere mye og fritt</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Proaktive meldinger</p>"
Bazel,DevOps,VURDER,FALSE,"<p>Byggesystem. Alternativ til Gradle, Make osv.</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Monorepo</li>
<li>- Monorepo</li>
</ul></p>

<p><b>Brukes av</b><br>
Veiviser</p>"
Rollbar,DevOps,VURDER,FALSE,"<p>Alternativ til Sentry for håndtering av kræsjlogger. Til forskjell fra Sentry fungerer det både på frontend og backend. To stemmer på Bruk. Har man gjort en vurdering i forhold til GDPR (hva slags data, hvor lagres, osv)?</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Både frontend og backend</li>
<li>- GDPR? Persondata i crash logs?</li>
</ul></p>

<p><b>Brukes av</b><br>
Veiviser</p>"
Grafana,DevOps,BRUK,FALSE,"<p>Ikke testet managed AWS løsning</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Ut av boksen med okctl</li>
<li>+ Dashboardløsning (metrikker)</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Veiviser, Booking, Min side</p>"
Loki,DevOps,BRUK,FALSE,"<p>Er dette et reelt valg teamene tar? Siden alle(?) får det med okctl...</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Smidig indeksering av loggestrømmen.</li>
<li>+ Fin loggehåndtering - enkelt og greit.</li>
<li>+ Ut av boksen med okctl.</li>
<li>- Må definere labels (indekser) på forhånd for effektivt søk.</li>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Barnehagepris, Veiviser, Kjøremiljø</p>"
Kibana (ELK),DevOps,VURDER,FALSE,"<p>Kan vises eksternt med f.eks. en dashboard-bruker, i motsetning til CloudWatch dashboards (krever innlogget AWS-bruker).</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Efektivt og kraftig søk i logger.</li>
<li>+ Dashboards for visualisering av data og metrikker hentet ut fra logger (lett å sette opp).</li>
<li>+ Kan indeksere strukturerte logger (JSON).</li>
<li>+ AWS tilbyr managed løsning.</li>
<li>- Ikke en del av okctl</li>
<li>- Elastic og AWS er ""uvenner""</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Min side, Dataspeilet, Skjema</p>"
